Name of the facility,City,Cardiologia,Ortopedia,Oncologia,Neurologia,Urologia,Chirurgia generale,Pediatria,Ginecologia
Policlinico G. Martino,Messina,5,2,5,1,5,1,5,3
Ospedale Civile OMPA,Ragusa,2,3,2,4,1,2,3,1
Policlinico Sant'Orsola-Malpighi,Bologna,5,4,3,2,3,4,5,5
Ospedale Maggiore,Bologna,2,3,3,5,3,3,3,4
Ospedale Bellaria,Bologna,1,3,4,4,3,3,5,5
Azienda Ospedaliero-Universitaria di Parma,Parma,4,2,5,2,5,1,4,4
Ospedale di Baggiovara,Modena,3,2,1,4,4,2,3,4
Arcispedale Santa Maria Nuova,Reggio Emilia,1,5,1,1,5,2,4,5
Ospedale Infermi,Rimini,5,3,1,3,4,2,3,3
Ospedale Bufalini,Cesena,3,4,1,2,4,4,4,2
Ospedale M. Bufalini,Cesena,1,2,5,4,4,2,5,2
Ospedale Santa Maria delle Croci,Ravenna,5,2,3,3,3,3,5,4
Azienda Ospedaliera San Giuseppe Moscati,Avellino,3,5,4,2,5,4,1,2
Azienda Ospedaliera di Padova,Padova,2,5,2,3,2,4,3,1
Ospedale San Bortolo,Vicenza,3,4,5,1,3,4,5,3
Ospedale Civile SS. Giovanni e Paolo,Venezia,3,2,1,1,4,3,2,3
Ospedale di Verona Borgo Trento,Verona,1,5,4,5,1,4,3,3
Ospedale Giovanni Paolo II,Ragusa,4,3,1,4,5,5,3,2
Istituto Ortopedico Rizzoli,Bologna,2,5,4,4,4,4,5,1
Ospedale Morgagni,Pierantoni - Forl,3,1,2,4,2,4,1,1
Ospedale Ca' Foncello,Treviso,2,4,3,2,4,2,3,5
Ospedale di Dolo,Dolo,2,2,4,1,4,4,1,4
Ospedale San Paolo,Savona,4,5,2,2,4,1,2,5
Ospedale SS. Annunziata,Chieti,5,4,1,3,5,2,2,1
Ospedale San Martino,Belluno,3,1,2,5,4,1,2,5
